word,numtotal,numNaMo,numRaGa,numDidi,NaMo,RaGa,Didi,NaMo_perc,RaGa_perc,Didi_perc,NaMo_percNorm,RaGa_percNorm,Didi_percNorm,X,Y,color_coded,size,max_said,Max_used_by
aarogya,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
aate,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
aave,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
aayog,2,1.0,1.0,0.0,0.5,0.5,0.0,2.2647491790284225e-05,3.9984006397441024e-05,0.0,0.0004653327128897161,0.001002004008016032,0.0,0.6585637114712424,0.5913849992795546,Mid2,0,numNaMo,NaMo
aazswcto,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
abandon,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
abanindranath,4,1.0,0.0,3.0,0.25,0.0,0.75,2.2647491790284225e-05,0.0,0.00010819778555198904,0.0004653327128897161,0.0,0.0036101083032490976,0.11417971970321517,0.0,Didi,0,numDidi,Didi
abbas,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abbtnsimet,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abdicate,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
abdicates,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
abdul,6,0.0,1.0,5.0,0.0,0.16666666666666666,0.8333333333333334,0.0,3.9984006397441024e-05,0.0001803296425866484,0.0,0.001002004008016032,0.006016847172081829,0.0713794880604707,0.1236328999389913,Didi,0,numDidi,Didi
abdullah,9,0.0,2.0,7.0,0.0,0.2222222222222222,0.7777777777777778,0.0,7.996801279488205e-05,0.00025246149962130775,0.0,0.002004008016032064,0.00842358604091456,0.09609158186864014,0.16643550197614904,Didi,0,numDidi,Didi
abeer,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abejsaihi,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
abeshinzo,10,10.0,0.0,0.0,1.0,0.0,0.0,0.00022647491790284225,0.0,0.0,0.004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abhedananda,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
abhijitmajumder,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abhilash,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abhilashtomy,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abhinandan,3,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0,2.2647491790284225e-05,7.996801279488205e-05,0.0,0.0004653327128897161,0.002004008016032064,0.0,0.5942220543806647,0.7028280184036096,RaGa,0,numRaGa,RaGa
abhinandanvarthaman,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
abhinandhansolemn,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
abhinash,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
abhinav,3,2.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,4.529498358056845e-05,0.0,3.606592851732968e-05,0.0009306654257794322,0.0,0.0012033694344163659,0.43610600892154283,0.0,Mid3,0,numNaMo,NaMo
abhishek,5,3.0,0.0,2.0,0.6,0.0,0.4,6.794247537085267e-05,0.0,7.213185703465936e-05,0.0013959981386691483,0.0,0.0024067388688327317,0.36710351936386393,0.0,Mid3,0,numNaMo,NaMo
abhiyaan,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abhiyan,2,2.0,0.0,0.0,1.0,0.0,0.0,4.529498358056845e-05,0.0,0.0,0.0009306654257794322,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abhoganyay,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
abhyudaya,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abide,3,1.0,0.0,2.0,0.3333333333333333,0.0,0.6666666666666666,2.2647491790284225e-05,0.0,7.213185703465936e-05,0.0004653327128897161,0.0,0.0024067388688327317,0.16201988691752778,0.0,Didi,0,numDidi,Didi
abilitiestoday,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
ability,4,3.0,1.0,0.0,0.75,0.25,0.0,6.794247537085267e-05,3.9984006397441024e-05,0.0,0.0013959981386691483,0.001002004008016032,0.0,0.7910752479097802,0.36186828557899253,Other,0,numNaMo,NaMo
abjoi,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
able,14,9.0,3.0,2.0,0.6428571428571429,0.21428571428571427,0.14285714285714285,0.00020382742611255804,0.00011995201919232307,7.213185703465936e-05,0.004187994416007445,0.003006012024048096,0.0024067388688327317,0.5927665243616891,0.2711542378378725,Other,0,numNaMo,NaMo
abled,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
abode,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abpnewstv,3,3.0,0.0,0.0,1.0,0.0,0.0,6.794247537085267e-05,0.0,0.0,0.0013959981386691483,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abpxhzheschad,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abroad,6,1.0,4.0,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,2.2647491790284225e-05,0.0001599360255897641,3.606592851732968e-05,0.0004653327128897161,0.004008016032064128,0.0012033694344163659,0.43499441946856265,0.6114525317034369,Other,0,numRaGa,RaGa
absence,2,0.0,1.0,1.0,0.0,0.5,0.5,0.0,3.9984006397441024e-05,3.606592851732968e-05,0.0,0.001002004008016032,0.0012033694344163659,0.22717331875341712,0.3934757302049581,Other,0,numRaGa,RaGa
absent,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
absenteeism,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
absolute,3,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,4.529498358056845e-05,3.9984006397441024e-05,0.0,0.0009306654257794322,0.001002004008016032,0.0,0.7407720144752714,0.44899604167255935,Mid2,0,numNaMo,NaMo
absolutely,5,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.00019992003198720512,0.0,0.0,0.00501002004008016,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
absorbing,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abul,8,1.0,2.0,5.0,0.125,0.25,0.625,2.2647491790284225e-05,7.996801279488205e-05,0.0001803296425866484,0.0004653327128897161,0.002004008016032064,0.006016847172081829,0.17290881819058182,0.2045113626421317,Didi,0,numDidi,Didi
abundance,2,2.0,0.0,0.0,1.0,0.0,0.0,4.529498358056845e-05,0.0,0.0,0.0009306654257794322,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
abuse,11,7.0,2.0,2.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0001585324425319896,7.996801279488205e-05,7.213185703465936e-05,0.003257328990228013,0.002004008016032064,0.0024067388688327317,0.5554630741303787,0.22633081356285023,Other,0,numNaMo,NaMo
abused,3,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0,2.2647491790284225e-05,7.996801279488205e-05,0.0,0.0004653327128897161,0.002004008016032064,0.0,0.5942220543806647,0.7028280184036096,RaGa,0,numRaGa,RaGa
abusesolemnly,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
abusing,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
abvp,2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.996801279488205e-05,0.0,0.0,0.002004008016032064,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
abysmal,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
academic,10,5.0,0.0,5.0,0.5,0.0,0.5,0.00011323745895142112,0.0,0.0001803296425866484,0.0023266635644485804,0.0,0.006016847172081829,0.27885906040268454,0.0,Didi,0,numNaMo,NaMo
academician,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
academy,6,0.0,1.0,5.0,0.0,0.16666666666666666,0.8333333333333334,0.0,3.9984006397441024e-05,0.0001803296425866484,0.0,0.001002004008016032,0.006016847172081829,0.0713794880604707,0.1236328999389913,Didi,0,numDidi,Didi
accelerated,2,1.0,1.0,0.0,0.5,0.5,0.0,2.2647491790284225e-05,3.9984006397441024e-05,0.0,0.0004653327128897161,0.001002004008016032,0.0,0.6585637114712424,0.5913849992795546,Mid2,0,numNaMo,NaMo
accelerating,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
accelerator,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
accept,14,5.0,7.0,2.0,0.35714285714285715,0.5,0.14285714285714285,0.00011323745895142112,0.00027988804478208716,7.213185703465936e-05,0.0023266635644485804,0.007014028056112224,0.0024067388688327317,0.4965917949267097,0.5170770310098305,Other,0,numRaGa,RaGa
acceptable,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
accepted,5,3.0,0.0,2.0,0.6,0.0,0.4,6.794247537085267e-05,0.0,7.213185703465936e-05,0.0013959981386691483,0.0,0.0024067388688327317,0.36710351936386393,0.0,Mid3,0,numNaMo,NaMo
accepting,2,1.0,1.0,0.0,0.5,0.5,0.0,2.2647491790284225e-05,3.9984006397441024e-05,0.0,0.0004653327128897161,0.001002004008016032,0.0,0.6585637114712424,0.5913849992795546,Mid2,0,numNaMo,NaMo
accepts,2,1.0,1.0,0.0,0.5,0.5,0.0,2.2647491790284225e-05,3.9984006397441024e-05,0.0,0.0004653327128897161,0.001002004008016032,0.0,0.6585637114712424,0.5913849992795546,Mid2,0,numNaMo,NaMo
access,21,15.0,5.0,1.0,0.7142857142857143,0.23809523809523808,0.047619047619047616,0.0003397123768542634,0.00019992003198720512,3.606592851732968e-05,0.006979990693345742,0.00501002004008016,0.0012033694344163659,0.7189212008386371,0.3288622455338635,NaMo,0,numNaMo,NaMo
accessible,5,5.0,0.0,0.0,1.0,0.0,0.0,0.00011323745895142112,0.0,0.0,0.0023266635644485804,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
accessing,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
accessory,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
acche,2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.996801279488205e-05,0.0,0.0,0.002004008016032064,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
acchedin,2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.996801279488205e-05,0.0,0.0,0.002004008016032064,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
accident,34,8.0,18.0,8.0,0.23529411764705882,0.5294117647058824,0.23529411764705882,0.0001811799343222738,0.0007197121151539384,0.00028852742813863746,0.003722661703117729,0.018036072144288574,0.009626955475330927,0.4059397148888513,0.49766938367439817,Other,0,numRaGa,RaGa
accidental,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
accidentally,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
accidentquestion,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
accidentwas,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
acclaimed,6,1.0,1.0,4.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,2.2647491790284225e-05,3.9984006397441024e-05,0.00014426371406931873,0.0004653327128897161,0.001002004008016032,0.0048134777376654635,0.1538550013333077,0.138160573180363,Didi,0,numDidi,Didi
accolade,3,3.0,0.0,0.0,1.0,0.0,0.0,6.794247537085267e-05,0.0,0.0,0.0013959981386691483,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
accommodate,2,1.0,0.0,1.0,0.5,0.0,0.5,2.2647491790284225e-05,0.0,3.606592851732968e-05,0.0004653327128897161,0.0,0.0012033694344163659,0.27885906040268454,0.0,Didi,0,numNaMo,NaMo
accommodating,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
accompany,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
accompanying,3,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,4.529498358056845e-05,3.9984006397441024e-05,0.0,0.0009306654257794322,0.001002004008016032,0.0,0.7407720144752714,0.44899604167255935,Mid2,0,numNaMo,NaMo
accomplished,3,2.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,4.529498358056845e-05,0.0,3.606592851732968e-05,0.0009306654257794322,0.0,0.0012033694344163659,0.43610600892154283,0.0,Mid3,0,numNaMo,NaMo
accomplishment,19,19.0,0.0,0.0,1.0,0.0,0.0,0.0004303023440154003,0.0,0.0,0.008841321544904607,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
accord,9,6.0,3.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.00013588495074170535,0.00011995201919232307,0.0,0.0027919962773382966,0.003006012024048096,0.0,0.7407720144752714,0.44899604167255935,Mid2,0,numNaMo,NaMo
accorded,2,1.0,0.0,1.0,0.5,0.0,0.5,2.2647491790284225e-05,0.0,3.606592851732968e-05,0.0004653327128897161,0.0,0.0012033694344163659,0.27885906040268454,0.0,Didi,0,numNaMo,NaMo
according,2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.996801279488205e-05,0.0,0.0,0.002004008016032064,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
accordthe,2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.996801279488205e-05,0.0,0.0,0.002004008016032064,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
account,10,5.0,4.0,1.0,0.5,0.4,0.1,0.00011323745895142112,0.0001599360255897641,3.606592851732968e-05,0.0023266635644485804,0.004008016032064128,0.0012033694344163659,0.5745082796240293,0.46046976987028554,Other,0,numNaMo,NaMo
accountability,2,2.0,0.0,0.0,1.0,0.0,0.0,4.529498358056845e-05,0.0,0.0,0.0009306654257794322,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
accountabilityviolence,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
accountable,3,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0,2.2647491790284225e-05,7.996801279488205e-05,0.0,0.0004653327128897161,0.002004008016032064,0.0,0.5942220543806647,0.7028280184036096,RaGa,0,numRaGa,RaGa
accountant,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
accountants,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
accredited,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
accurate,2,1.0,1.0,0.0,0.5,0.5,0.0,2.2647491790284225e-05,3.9984006397441024e-05,0.0,0.0004653327128897161,0.001002004008016032,0.0,0.6585637114712424,0.5913849992795546,Mid2,0,numNaMo,NaMo
accurately,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
accuse,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
accused,6,0.0,5.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.00019992003198720512,3.606592851732968e-05,0.0,0.00501002004008016,0.0012033694344163659,0.403163205899476,0.698299156360245,RaGa,0,numRaGa,RaGa
acgbwdxhntrt,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
acharya,9,1.0,0.0,8.0,0.1111111111111111,0.0,0.8888888888888888,2.2647491790284225e-05,0.0,0.00028852742813863746,0.0004653327128897161,0.0,0.009626955475330927,0.046107751206791316,0.0,Didi,0,numDidi,Didi
ache,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
achieve,7,2.0,2.0,3.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,4.529498358056845e-05,7.996801279488205e-05,0.00010819778555198904,0.0009306654257794322,0.002004008016032064,0.0036101083032490976,0.29529929477848016,0.26517642892847176,Didi,0,numDidi,Didi
achieved,11,5.0,3.0,3.0,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.00011323745895142112,0.00011995201919232307,0.00010819778555198904,0.0023266635644485804,0.003006012024048096,0.0036101083032490976,0.4282413197983493,0.29110429240160557,Other,0,numNaMo,NaMo
achievement,35,10.0,14.0,11.0,0.2857142857142857,0.4,0.3142857142857143,0.00022647491790284225,0.0005597760895641743,0.00039672521369062645,0.004653327128897161,0.014028056112224447,0.013237063778580024,0.36553643032218075,0.3806154150106737,Other,0,numRaGa,RaGa
achievementattended,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
achiever,4,1.0,1.0,2.0,0.25,0.25,0.5,2.2647491790284225e-05,3.9984006397441024e-05,7.213185703465936e-05,0.0004653327128897161,0.001002004008016032,0.0024067388688327317,0.24943620600933208,0.22399173829602234,Didi,0,numDidi,Didi
achieves,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
achieving,9,6.0,1.0,2.0,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.00013588495074170535,3.9984006397441024e-05,7.213185703465936e-05,0.0027919962773382966,0.001002004008016032,0.0024067388688327317,0.5310654422743634,0.1399447556263922,Mid3,0,numNaMo,NaMo
achyuta,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
acid,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
acknowledge,3,0.0,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,7.996801279488205e-05,3.606592851732968e-05,0.0,0.002004008016032064,0.0012033694344163659,0.31240601503759396,0.5411030906352394,Mid1,0,numRaGa,RaGa
acknowledged,2,1.0,0.0,1.0,0.5,0.0,0.5,2.2647491790284225e-05,0.0,3.606592851732968e-05,0.0004653327128897161,0.0,0.0012033694344163659,0.27885906040268454,0.0,Didi,0,numNaMo,NaMo
acknowledging,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
acome,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
